usTicker,usCompany,theme,product,twCode,twName,twRole,relationship,benefitReason,confidence,lastEvidenceDate,lastEvidenceTitle,hitCount,updatedAt
MU,Micron Technology,HBM,HBM4,2330,台積電,晶圓代工與先進封裝 (CoWoS),HBM測試與先進封裝在地合作夥伴,美光獲輝達認證正式供應HBM4高頻寬記憶體，其在台灣擴充的HBM測試及先進封裝產能將與台積電的CoWoS先進封裝及在地生態圈展開更緊密合作,9,2026/06/17,美光獲輝達認證供應AI記憶體,1,2026/06/17 06:30:47 JST
MU,Micron Technology,HBM,HBM4 / Carrier wafer,3532,台勝科,Material,矽晶圓 / Carrier wafer 供應商,美光獲輝達正式核准供應HBM4，高頻寬記憶體出貨動能強勁，美光擴產將帶動 Carrier wafer 供應商台勝科出貨成長,9,2026/06/17,美光獲輝達認證供應AI記憶體,1,2026/06/17 06:30:47 JST
SPACEX,SpaceX,星際算力/衛星網通,太空雷射通訊系統 / 雷射磊晶片,3081,聯亞,雷射磊晶廠,透過雷射巨頭(Coherent)間接切入太空雷射通訊供應鏈,SpaceX上市表現強勁且持續擴張半導體與衛星通信產能，聯亞與Coherent合作緊密，為其提供太空雷射與矽光子磊晶片，可望隨SpaceX估值與產業規模擴張而大幅受惠,9,2026/06/17,SpaceX上市第三日 市值超越亞馬遜與微軟,1,2026/06/17 06:30:47 JST
AMAT,Applied Materials,半導體設備,半導體設備代工,3413,京鼎,設備代工廠商,京鼎作為AMAT主要設備代工廠商，AMAT為其大客戶,AMAT於5月法說上修2026年設備營收年增展望並看好2027年強勁成長，京鼎作為主要設備代工廠將顯著受惠，且在客戶轉移生產據點下可望掌握更多市占，客戶rolling forecast已達2028年,9,2026/06/17,"1781655987037_京鼎(3413,B;買進)-CTBC260617.pdf",1,2026/06/17 09:30:51 JST
SPACEX,SpaceX,星際算力/衛星網通,太空雷射通信元件及模組封裝,3450,聯鈞,光封裝測試廠,合作代工製造與測試 SpaceX 規格之雷射通訊晶片封裝,SpaceX上市後股價與市值飆漲，反映市場對低軌衛星與太空通信系統的強大興趣，聯鈞透過與雷射巨頭合作，封測SpaceX規格之光通訊/雷射發射模組，需求看增,8,2026/06/17,SpaceX上市第三日 市值超越亞馬遜與微軟,2,2026/06/17 06:30:47 JST
AMZN,Amazon.com Inc.,電商代工/服飾,服飾代工訂單,4441,振大環球,服飾代工供應商,振大環球為Amazon供應服飾代工，包含Sofia聯名品牌及Demi Lovato代言女性時裝訂單,Amazon於5月暫緩拉貨，預期6月恢復，3Q26旺季及遞延拉貨貢獻，訂單並未調整且續增，帶動2026年營收獲利創高,9,2026/6/16,1781612352885_【元大投顧】投資早報 20260616.pdf,1,2026/06/17 09:00:52 JST
NVDA,NVIDIA,AI伺服器液冷,液冷散熱關鍵零組件,4551,智伸科,Component Supplier,伺服器水冷板關鍵零組件供應商,智伸科成功切入AI伺服器水冷散熱系統，開發之關鍵零組件已順利打入全球一線AI晶片巨頭(NVIDIA)及美系機櫃水冷板大廠供應鏈並開始出貨,8,2026/06/16,焦點股：智伸科水冷關鍵零組件開始出貨，股價連攻3根漲停、創5年半新高,1,2026/06/17 06:30:47 JST
GOOGL,Alphabet,AI Chip,Google TPU,2454,聯發科,IC Design,系統級設計 (L6 PCBA) 開發商,分析師郭明錤指出聯發科調升AI策略定位，由單純IC/ASIC設計升級至系統級設計業務，首要目標鎖定代表Google TPU系統級設計之商機,8,2026/06/16,郭明錤稱聯發科AI定位升級，鎖定Google TPU與馬斯克L10機櫃商機,1,2026/06/17 06:30:47 JST
TSLA,Tesla,AI Server,馬斯克 L10 運算機櫃,2454,聯發科,IC Design,系統級設計與開發商,郭明錤爆料聯發科將AI策略轉向系統級設計，鎖定馬斯克L10機櫃等大機櫃AI商機，爭取相關系統與晶片設計整合外包訂單,8,2026/06/16,聯發科不只做晶片了！郭明錤爆料：盯上馬斯克的「大機櫃」,1,2026/06/17 06:30:47 JST
CSCO,Cisco Systems,AI Network,MPO光纖連結器零組件,3548,兆利,Component Supplier,光通訊連結器零組件供應商,思科（Cisco）財報與展望指出AI網路與網路基礎設施需求大飆升；台股樞紐廠兆利切入光通訊，MPO光纖連結器零組件出貨倍增、佔比達7%，直接受益於AI資料中心建置熱潮,7,2026/06/16,兆利光通訊佔比達7%，業績倍增，與客戶展開研發合作，長期看旺,1,2026/06/17 06:30:47 JST
,美系GPU server客戶,AI伺服器/GPU載板,CPU載板、GPU載板,3189,景碩,供應CPU/GPU載板,景碩接獲美系GPU server客戶CPU、GPU載板大單，CPU載板市占率約45%、GPU載板市占約20%,受惠美系GPU server客戶載板面積與需求量放大，景碩接獲大量外溢訂單，啟動2027年擴產計畫,7,2026-06-16,群益-3189景碩-20260616.pdf,1,2026/06/17 09:16:05 JST
GOOGL,Alphabet (Google),AI ASIC晶片,TPU、Google Axion CPU,3443,創意,提供CoWoS與Physical Design設計支援,創意受惠Google自研晶片浪潮，提供客戶CoWoS與Physical Design的專業支援，隨著TPU增加亦帶動CPU出貨量,Google強調全棧式優化，使用自研TPU與Axion CPU，創意提供CoWoS與Physical Design支援，TPU增加帶動CPU出貨,7,2026-06-16,群益-3443創意-20260616.pdf,1,2026/06/17 09:16:05 JST
,另一美系客戶,伺服器載板,一般server載板,3189,景碩,一般server載板長期供應商,景碩長期為另一美系客戶一般server載板供應商,大量訂單使景碩啟動新一輪擴產計畫,6,2026-06-16,群益-3189景碩-20260616.pdf,1,2026/06/17 09:16:05 JST
SPACE,SpaceX,衛星通訊,Starlink地面接收站線束連接器、塑膠機構件,5457,宣德,供應線束連接器、塑膠機構件,宣德今年於SpaceX旗下Starlink地面接收站訂單金額翻倍，供應線束連接器、塑膠機構件等,SpaceX於那斯達克掛牌上市，且Starlink地面接收站訂單金額翻倍，帶動宣德營收成長,8,2026-06-15,1781495695471_20260615兆豐晨會分析.pdf,26,2026/06/16 02:41:20 JST
COHR,Coherent,光通訊/雷射,雷射磊晶片,3081,聯亞,雷射磊晶廠,為 Coherent 提供雷射與矽光子磊晶片，切入 SpaceX 太空雷射鏈,SpaceX 擴大太空雷射算力通訊需求，帶動雷射巨頭 Coherent 釋出大單，聯亞作為核心磊晶代工廠直接受惠,9,2026-06-15,2026-06-15-最強_IPO_砸出_星際算力鏈__SpaceX_2027_年_1GW_太空野望_聯亞_聯鈞如何切入雷射巨頭暴賺宇宙大單__2026_06_15__一_.md,1,2026-06-16 05:48:22
SPACEX,SpaceX,星際算力/衛星網通,星鏈低軌衛星/太空雷射通訊系統,3081,聯亞,雷射磊晶大廠,透過雷射元件大廠間接切入 SpaceX 太空雷射通訊供應鏈,SpaceX 2027 年 1GW 太空計畫推動星際算力建置，其關鍵高頻雷射通訊晶圓需求大增，挹注聯亞磊晶接單,9,2026-06-15,2026-06-15-最強_IPO_砸出_星際算力鏈__SpaceX_2027_年_1GW_太空野望_聯亞_聯鈞如何切入雷射巨頭暴賺宇宙大單__2026_06_15__一_.md,1,2026-06-16 05:48:22
SPACE,SpaceX,衛星通訊,Starlink地面接收站訂單(線束連接器、塑膠機構件),5457,宣德,供應線束連接器、塑膠機構件,宣德供應SpaceX旗下Starlink地面接收站之線束連接器與塑膠機構件,SpaceX於那斯達克掛牌上市，宣德今年於Starlink地面接收站訂單金額翻倍,8,2026-06-15,1781495695471_20260615兆豐晨會分析.pdf,1,2026/06/15 19:36:22 JST
COHR,Coherent,光通訊/CPO,光收發模組與雷射封測,3450,聯鈞,光通訊半導體封測廠,提供高規格光通訊模組及雷射發射器之高階封裝與測試服務,星際算力鏈與 1GW 太空野望推升雷射通訊模組規格，聯鈞切入雷射巨頭供應鏈，帶動 CPO 與雷射模組封裝出貨,8,2026-06-15,2026-06-15-最強_IPO_砸出_星際算力鏈__SpaceX_2027_年_1GW_太空野望_聯亞_聯鈞如何切入雷射巨頭暴賺宇宙大單__2026_06_15__一_.md,1,2026-06-16 05:48:22
AMD,Advanced Micro Devices,CPU伺服器主板,Venice (Zen6) CPU平台 General Server CPU Board,3044,健鼎,供應CPU Board PCB (16L-26L HLC),健鼎供應General Server CPU板材，受惠AMD Venice平台升級至PCIe6、M7 CCL、20-24L板層,AMD Venice平台升規帶動單板ASP上揚，Agentic AI帶動CPU需求提升,8,2026/6/15,1781655317013_3044健鼎-玉山260615.pdf,1,2026/06/17 09:16:05 JST
INTC,Intel Corporation,CPU伺服器主板,Oak Stream CPU平台 General Server CPU Board,3044,健鼎,供應CPU Board PCB (16L-26L HLC),健鼎供應General Server CPU板材，受惠Intel Oak Stream平台升級至PCIe6、M7 CCL、20-24L板層,Intel Oak Stream平台升規帶動單板ASP上揚，Agentic AI帶動CPU需求提升,8,2026/6/15,1781655317013_3044健鼎-玉山260615.pdf,1,2026/06/17 09:16:05 JST
MU,Micron Technology,DRAM記憶體模組,DRAM Module PCB,3044,健鼎,供應DRAM Module用PCB板,健鼎為全球DRAM Module用板前兩大供應商，市占率約50%，客戶涵蓋美光,受惠AI伺服器、高效能運算及企業級記憶體需求成長，2026年記憶體業務營收年增50%以上,8,2026/6/15,1781655317013_3044健鼎-玉山260615.pdf,1,2026/06/17 09:16:05 JST
