發布時間,類型,個股影響,標題,摘要
2026/06/04 08:59,當下,,台股中小型公司5月營收速報出爐 新增54家個股揭露最新成績,台股中小型公司5月營收速報更新，最新再新增54家公司的營收數據，供市場檢視各股基本面表現。
2026/06/04 08:48,當下,"國巨(2327): 9
聯電(2303): 9
可成(2474): 8
宏碁(2353): 8
華碩(2357): 8",國巨、聯電領漲帶動千億級ETF衝高 可成、宏碁、華碩亮燈助攻,台股千億級ETF在成分股強勢表現下規模再創高，其中國巨、聯電大漲逾165%成為主要推升動能，可成、宏碁、華碩等個股也亮燈漲停，合力助攻ETF衝上新高。
2026/06/04 08:45,展望,"南亞科(2408): 7
信邦(3023): 7
邁達特(6112): 7",台股多頭強勢延續 盤前聚焦重電證券輪動與營收創高族群,台股在法人連四日買超推升下續創歷史新高，盤前市場聚焦重電與證券族群輪動表現，同時南亞科、信邦、邁達特等5月營收創近12個月新高，成為盤面亮點。
2026/06/04 08:20,當下,,台股續寫歷史新高 前20大企業市值全面突破兆元,台股指數持續創高，市場熱度不減，前20大企業市值也全數站上兆元大關，反映資金持續追捧大型權值股。
2026/06/04 08:15,當下,聯電(2303): -5,台股創高遇美股震盪 外資轉趨保守並調節記憶體與聯電,台股創下歷史新高後，受美股震盪影響，外資操作轉趨保守，對記憶體族群與晶圓代工大廠聯電出現提款賣超，資金流向轉趨觀望。
2026/06/04 07:18,當下,,凱基推主動式ETF 00407A 搶攻台股不配息商品商機,凱基投信推出主動型商品00407A，搶占主動管理市場，也引發市場對台股不配息ETF後續發展的關注。
2026/06/04 06:35,當下,,台股4天暴漲2824點攻上4萬6 注意股與處置股激增,台股近4天狂飆2824點，已站上4萬6000點關卡，但市場過熱也讓上市櫃公司中有多達99檔被列入注意股或處置股。
2026/06/04 05:36,展望,,高盛看旺台股上調目標指數至51000點 仍有約一成上漲空間,高盛證券維持台股加碼評等，將目標指數上調至51000點，認為後續仍有約10%的漲升空間。
2026/06/04 05:23,當下,台積電(2330): 9,黃仁勳談話點燃信心 台股與台積電同步創高,輝達執行長黃仁勳釋出樂觀看法，帶動市場信心升溫，推升台股大盤與權值股台積電雙雙創下歷史新高。
2026/06/04 04:00,展望,,台股多頭尚未結束 6月行情預估先漲後震盪,市場專家認為台股多頭行情仍未走完，預期6月走勢將呈現先漲後震盪格局，並提醒投資人留意節奏變化。
2026/06/04 04:00,當下,,金融獲利題材發酵 含金量高的台股ETF績效走揚,受金融業獲利持續傳出佳音帶動，含金融成分較高的台股高股息ETF表現水漲船高，其中00919今年以來報酬表現亮眼。
2026/06/04 02:46,當下,,電子金融雙引擎發威 台股攻上4萬6千點 千金股回升至52檔,在電子與金融族群帶動下，台股成功站上46000點大關，高價千金股檔數也回升至52檔，顯示多頭氣勢續強。
2026/06/04 01:53,展望,,台股狂飆引發末升段疑慮 谷月涵與謝金河示警後市風險,面對台股連日狂飆，谷月涵示警市場可能進入末升段，謝金河也提醒投資人保持冷靜、留意關鍵風險，市場對高檔續航力展開熱議。
2026/06/04 00:15,當下,,面板與被動元件族群遭列處置 台股新增12檔交易異常個股,台股新增12檔處置股，其中包含面板三雄中的兩檔與熱門被動元件飆股，短線交易將受處置限制。
2026/06/03 23:20,當下,,阮慕驊公開台股對帳單 亮出2056萬獲利反擊酸民,財經專家阮慕驊公開四大對帳單，顯示其台股累計獲利高達2056萬元，藉此回擊外界質疑並展現投資實績。
2026/06/03 22:19,當下,"群創(3481): -3
廣達(2382): -3",AI熱潮推升台股交易熱度 99檔列注意處置 群創、廣達上榜,台股受AI題材推動交易熱絡，多達99檔上市櫃股票因交易異常被列入注意或處置名單，其中群創、廣達等指標股也名列其中。
2026/06/03 21:59,當下,,台股創新高 外資轉賣記憶體三雄並偏向布局金融股,台股創高之際，外資資金出現板塊輪動，減碼記憶體三巨頭，並將買盤轉向金融股。
2026/06/03 21:46,展望,,若股市重挫怎麼買 外媒點名台灣一檔個股具避險吸引力,外媒分析若全球股市遭遇崩盤，台灣有一檔具備強勁競爭力的個股被視為相對不敗的避風港，吸引投資人關注。
2026/06/03 20:53,展望,,0050換股恐掀大洗牌 專家點名兩檔老牌成分股恐遭剔除,市場預期元大台灣50（0050）成分股即將調整，專家指出兩檔老牌成分股面臨被踢出的風險，引發市場關注。
2026/06/03 20:45,展望,,台股衝上高檔還能不能買 專家提醒最傷資產的是這個動作,面對台股衝上高檔，市場熱議是否仍可進場，專家提醒，某些錯誤投資動作比單純買在高點更危險，投資人應重視風險控管。
2026/06/03 19:08,當下,,台股8檔遭列處置 其中5檔為二度入列,台股有8檔股票因交易異常被列入處置名單，其中5檔為第二次遭列處置，短線交易限制再度升高。
2026/06/03 19:00,展望,,台股主升段尚未結束 市場看好多頭延續,市場專家認為台股並非只是在挑戰高點，而是主升段仍未走完，顯示整體中長線多頭動能依舊強勁。
2026/06/03 18:21,當下,,台股連4日創高攻破46000點 百檔漲停助攻資金行情,台股資金行情持續發酵，指數連4日刷新歷史高點並攻破46000點，盤中更有超過百檔上市櫃個股漲停，市場買氣熱絡。
2026/06/03 17:41,當下,,台股暴衝站穩4萬6 仁來瘋延燒帶動CPO與重電輪動,台股在輝達相關題材帶動下暴衝近千點並站穩4萬6千點，盤面由CPO與重電概念股接棒輪動，但短線漲多也讓市場對回檔有所戒心。
2026/06/03 17:32,展望,,谷月涵自曝零持股示警別賺最後一滴水 網友反喊台股5萬點,谷月涵透露自己目前零持股，並提醒投資人別賺最後一滴水，示警股市可能已到高檔；不過市場與網友反向解讀，認為台股仍有上攻空間。
2026/06/03 16:11,當下,,台股衝破46K 金融概念股強漲停單日買盤火熱,台股指數強勢突破46000點，金融族群跟著活躍，帶動多檔受惠概念股攻上漲停，市場買盤同樣湧現。
2026/06/03 16:01,當下,,台股大漲卻有人焦慮 專家點出散戶最怕賣飛的心理壓力,台股持續上漲之際，部分投資人反而感到焦慮，專家指出，許多人面臨帳上獲利未落袋與害怕賣飛的雙重心理壓力。
2026/06/03 15:30,當下,,AI熱潮擴散至日股 黃仁勳效應帶動日股大漲創高,黃仁勳引發的AI熱潮不僅推升台股，也外溢至日本股市，帶動日股大漲2000點創新高，相關ETF同步走強。
2026/06/03 15:15,展望,,谷月涵示警台股已進末升段 空手觀點再掀市場討論,谷月涵直言台股可能進入末升段，並自曝已經空手、呼籲投資人別賺最後一滴水，卻引發市場與網友熱議。
2026/06/03 11:35,當下,,台股大漲引發獲利焦慮 投資人怕賣飛反陷心理拉扯,台股大漲之際，許多投資人卻感到不快樂，原因在於帳面獲利尚未落袋，且普遍擔心過早出場而錯過後續漲幅。
2026/06/03 11:34,當下,,台股超車印度再受關注 專家看好後續仍有加碼空間,台股指數超車印度股市後，再度引發市場關注，專家認為目前市場仍有條件持續加碼。
2026/06/03 10:15,當下,台積電(2330): 9,台積電開盤創天價 帶動台股飆升直逼46400點,台積電開盤即創歷史天價，強勢帶動台股大盤狂飆逾850點，直奔46400點關卡。
2026/06/03 10:04,當下,,台股開戶數突破1500萬 0到19歲族群成長驚人,證交所統計顯示，台股總開戶人數已突破1500萬大關，其中0至19歲族群開戶數快速增加，反映投資理財向年輕世代扎根。
2026/06/03 08:51,展望,"台積電(2330): 7
富世達(6805): 6
旺宏(2337): 5
藥華藥(6446): 6",COMPUTEX加持台積電與伺服器供應鏈 盤前鎖定業績與法人買盤股,COMPUTEX展期持續加持台積電與伺服器代工族群，櫃買市場則出現劇烈洗盤，市場資金轉向業績佳且獲法人青睞的個股，如富世達、旺宏與藥華藥。
2026/06/02 23:24,展望,,外資台股市值占比逼近五成 後市聚焦是否邁入過半時代,外資在台股市值占比已達49.99%的臨界點，市場關注後續是否會進一步突破五成，進入外資主導台股的新階段。
2026/06/02 23:06,當下,,台股高檔震盪下個股分歧 有人對帳單慘綠引熱議,在台股大盤維持高檔之際，市場上也出現截然不同的個股表現，有投資人曬出慘綠對帳單與大幅回落持股，引發網路討論。
2026/06/02 18:51,當下,,台股ETF績效排行榜洗牌 0050受挑戰 另有ETF大漲115%,最新台股ETF績效排行榜出爐，元大台灣50（0050）面臨挑戰，市場上也有ETF寫下高達115%的驚人漲幅，成為焦點。
2026/06/02 18:00,展望,,"三大利多加持 台股6月有望續衝46,000點","在三大利多因素帶動下，市場預期台股6月行情仍有上攻空間，有機會挑戰46,000點整數關卡。"
2026/06/02 17:00,當下,,台股高檔不賣反加碼 投資人高檔操作心態受關注,台股站上高檔後，有投資人仍堅持不出場並持續加碼，市場對於高檔操作與風險控管的討論升溫。
2026/06/02 16:20,當下,台積電(2330): 8,台股大漲436點 台積電領軍 記憶體族群同步噴出,台股大漲436點，台積電上漲40元扮演撐盤要角，記憶體族群也有兩檔個股強勢噴出，帶動盤面氣勢升溫。
2026/06/02 12:58,展望,,台股衝破45000點再創高 專家提醒回檔風險仍需留意,台股加權指數強勢突破45000點，但中經院同步示警市場後續仍有回檔風險，投資人需留意高檔震盪與修正壓力。
2026/06/04 13:34,當下,"彩晶(6116): -10
仁寶(2324): -10
士電(1503): 10
亞力(1514): 10
康舒(6282): 10",台股盤中重挫逾400點失守46000點 重電股逆勢漲停、彩晶仁寶跌停,台股盤中一度大跌逾400點並失守46000點關卡，盤面呈現兩極化，彩晶與仁寶跌停，士電、亞力、康舒等重電與電源股則強勢鎖漲停。
2026/06/04 13:18,展望,,油價飆升美股熄火 台指夜盤急跌320點 台股開盤承壓,受國際油價飆升與美股轉弱影響，台指夜盤大跌320點，市場預期台股今日開盤將承受沉重賣壓。
2026/06/04 13:13,當下,,金融指數刷新高 5檔高含金量台股ETF績效受矚目,金融指數創下新高，市場聚焦5檔高含金量台股ETF的績效表現，其中00919今年以來含息報酬也明顯走揚。
2026/06/04 13:08,當下,,台股盤中重挫逾600點 分析師喊多頭未變 建議震盪中布局,台股盤中重挫逾600點引發市場恐慌，但分析師認為多頭格局未變，建議投資人面對拉回時可採取逢低布局策略。
