發布時間,標題,摘要,類型,個股影響
2026/06/03 10:15,"台積電開盤即創天價！台股飆漲逾850點、直奔46,400點關卡 - UDN","台積電開盤即創新高價，帶動台股大漲逾850點。大盤指數直奔46,400點關卡，市場買氣明顯升溫。",當下,台積電(2330): 9
2026/06/03 10:14,台積電股東會前夕 上漲60元再寫2440新天價 台股站上4萬6 - Yahoo股市,台積電在股東會前夕股價上漲60元，改寫2440元新高，帶動台股站上4萬6千點。消息反映市場對台積電及台股權值股動能偏樂觀。,當下,台積電(2330): 9
2026/06/03 10:11,台股大漲逾800點衝破46K創新高！台積電飆2440元天價 - TVBS新聞網,"台股大漲逾800點，衝破46,000點並創下新高。台積電股價飆上2440元天價，成為推升大盤的重要焦點。",當下,台積電(2330): 9
2026/06/03 10:10,開盤／台積電飆50元寫新高價！台股噴逾800點再寫史高AI概念股點火| 財經 - 三立新聞網SETN.com,台股開盤大漲逾800點再創歷史新高，AI概念股成為盤面主要動能。台積電股價大漲50元並改寫新高價，帶動大盤攻高。,當下,台積電(2330): 9
2026/06/03 10:09,台股早盤漲逾800點 台積電漲60元 - Yahoo新聞,台股早盤大漲逾800點，市場買氣明顯回溫。台積電同步大漲60元，成為推升大盤的重要權值股。,當下,台積電(2330): 8
2026/06/03 10:05,台股早盤漲逾700點 台積電漲60元 - Yahoo股市,台股早盤大漲逾700點，市場買盤明顯回溫。台積電早盤上漲60元，成為帶動大盤上攻的重要權值股。,當下,台積電(2330): 8
2026/06/03 07:45,輝達點燃科技多頭！台積電領軍台股創歷史新高-財經焦點情報站 - CMoney投資網誌,輝達帶動科技股多頭氣氛，台積電領軍推升台股創歷史新高。新聞反映AI與半導體題材持續支撐台股行情。,當下,台積電(2330): 8
2026/06/03 07:26,台股盤前／費半暴衝近6％！台指夜盤大漲583點 AI行情台股有望再創高 - Yahoo新聞,費城半導體指數大漲近6%，台指夜盤同步大漲583點，市場預期AI行情可望推升台股再創新高。台積電收2380元、加權指數收45557點雙創收盤新高，台積電ADR亦上漲逾2%。,展望,台積電(2330): 8
2026/06/03 06:44,3台股被抓去關！旺宏也入列 被處置到6／16 - Yahoo新聞,Yahoo新聞報導，3檔台股遭列入處置，其中旺宏也入列，處置期間至6月16日。處置措施通常與股價波動或交易異常有關，短線可能影響市場交易意願。,當下,旺宏(2337): -3
2026/06/02 22:59,〈凱基金法說〉凱壽Q1台股投報率衝破31% 「AI不是短暫故事」續採積極策略 - news.cnyes.com,凱壽第一季台股投資報酬率衝破31%，顯示其台股操作績效亮眼。公司認為AI題材並非短期現象，後續仍將採取較積極的投資策略。,展望,凱基金(2883): 7
2026/06/02 20:45,「AMD點名封測廠」、代工二哥慘被踢出！00919換股大地震18進18出 「兆元宴」這檔卻入列 - Yahoo股市,00919成分股進行大幅調整，出現18進18出的換股變動。新聞標題指出代工二哥遭剔除，可能對相關個股短線籌碼形成壓力。,當下,聯電(2303): -3
2026/06/02 18:29,COMPUTEX一開台股就噴新高！記憶體暴走南亞科首闖400元大關｜Yahoo財經掃描 - Yahoo股市,COMPUTEX開展帶動台股攻上新高，市場人氣明顯升溫。記憶體族群表現強勢，南亞科股價首度突破400元大關。,當下,南亞科(2408): 9
2026/06/02 16:38,台股急殺原因？進逼46000又震千點！廣達、緯創、華碩、宏碁、仁寶…第3根漲停能追？想通吃選它 - 今周刊,台股高檔震盪劇烈，指數進逼46000點後出現千點級波動。新聞聚焦廣達、緯創、華碩、宏碁、仁寶等電子股短線漲勢與追價風險。,當下,廣達(2382): 5；緯創(3231): 5；華碩(2357): 5；宏碁(2353): 5；仁寶(2324): 5
2026/06/02 16:20,台股漲436點 台積電漲40元 記憶體「2檔」噴7% - Yahoo股市,台股大漲436點，台積電上漲40元帶動大盤走強。記憶體族群有2檔個股漲幅達7%，但新聞未明確列出個股名稱。,當下,台積電(2330): 8
2026/06/02 15:03,台股又爆千點恐怖震盪！台積電收漲25元穩盤 老AI飆漲停 - Yahoo股市,台股盤中出現千點級劇烈震盪，市場波動明顯放大。台積電收漲25元發揮穩盤作用，部分老AI概念股同步強勢表現。,當下,台積電(2330): 8
2026/06/02 13:05,【Hot台股】聯發科5000元近關情怯...網哭「發哥晶片都秀出來了」分析師：平常心看待 - Yahoo股市,聯發科股價逼近5000元關卡時出現觀望情緒，引發網友討論。分析師認為短線關卡震盪應以平常心看待。,當下,聯發科(2454): -1
2026/06/02 08:51,【0602台股盤前】COMPUTEX今日開展，輝達、高通背板效應引爆，Computex強勢概念股:景碩 (3189)、宏碁 (2353)、英業達 - sinotrade.com.tw,COMPUTEX今日開展，市場聚焦輝達、高通等國際大廠帶動的題材效應。景碩、宏碁、英業達被點名為Computex強勢概念股。,展望,景碩(3189): 8；宏碁(2353): 8；英業達(2356): 8
2026/06/01 18:25,台股攻上45K新高老AI「仁來瘋」全線開轟 力積電量能爆發卻收黑！｜Yahoo財經掃描 - Yahoo股市,台股攻上45K新高，市場資金聚焦AI相關族群表現。力積電雖量能放大，但股價收黑，顯示追價買盤力道不足。,當下,力積電(6770): -3
2026/05/31 16:00,【0526台股盤前】美伊和平協議與AI供應鏈點火，台股再創新高！「RS動能排行」:中華化、希華、敬鵬｜豐雲學堂2026 年 05 月 - sinotrade.com.tw,新聞指出美伊和平協議與AI供應鏈題材帶動市場情緒，台股盤前延續強勢並再創新高。文中列出RS動能排行個股包含中華化、希華與敬鵬。,展望,中華化(1727): 7，希華(2484): 7，敬鵬(2355): 7
2026/05/31 09:11,【台股大拆股時代1】國巨分割翻5倍...「拆股就起飛」？這些「前千金股」不漲反跌昔生技股王竟剩100元 - Yahoo股市,報導探討台股拆股案例，指出國巨過去分割後股價表現亮眼，但並非所有高價股拆股後都能續漲。文章提醒投資人仍需回歸基本面與產業趨勢評估。,當下,國巨(2327): 7
2026/05/29 15:39,【台股5月風雲榜】國巨華新科「被動元件七雄」齊飛天 禾伸堂狂飆逾200%稱王 - Yahoo股市,5月台股被動元件族群表現強勢，國巨、華新科等相關個股同步走揚。禾伸堂股價狂飆逾200%，成為當月漲幅最突出的個股。,當下,國巨(2327): 7；華新科(2492): 7；禾伸堂(3026): 9
