發布時間,類型,個股影響,標題,摘要
2026/06/05 00:54,展望,"EXL(EXLS): 7
輝達(NVDA): 4",EXL整合NVIDIA交易基礎模型工作流，助金融機構打造下世代AI,全球數據與AI公司EXL宣布將NVIDIA的「打造自有交易基礎模型」開發範例整合至其AI與分析產品中，協助銀行、支付公司及保險業者運用自有專屬資料，快速建構與部署於詐欺偵測、風險管理及交易智能等應用。此舉協助客戶擺脫碎片化、單一任務的AI模型，邁向統一化AI架構。
2026/06/05 00:45,展望,"波克夏(BRK.B): 7
Alphabet(GOOGL): 8",巴菲特讚揚Greg Abel 168億美元收購潮 包含100億押注Google,波克夏新任CEO Greg Abel展開168億美元收購行動，其中100億美元重押Google母公司Alphabet，涵蓋AI到房地產建商等多元領域。巴菲特公開表態支持，此舉被視為波克夏未來戰略方向的重要信號，顯示新領導層積極擁抱科技與AI浪潮。
2026/06/05 00:33,展望,微軟(MSFT): 6,微軟xPilot串接AI零售雙生 強化Azure長線故事,微軟攜手漢朔(Hanshow)推出xPilot零售平台，運用Azure與Microsoft Fabric將實體門市數據與零售商業系統整合，支援數位雙生與AI代理進行門店執行。中國天虹百貨成為早期採用者，為實體零售營運與流程優化提供實測場域。此舉強化微軟Azure長期成長動能，並擴大企業AI落地版圖。
2026/06/05 00:31,展望,"亞馬遜(AMZN): 7
輝達(NVDA): -5
博通(AVGO): -3
超微(AMD): -3",亞馬遜500億美元晶片秘密：為何它可能成為輝達最大的AI勁敵,AI需求推動半導體股成為市場最大贏家，輝達、博通、超微等晶片商備受關注。然而，亞馬遜其實正悄悄打造一項規模高達500億美元的自研晶片業務，雖然它並非傳統半導體公司，但其AI晶片(如Trainium、Inferentia)成長快速，可能成為輝達在AI領域最強勁的競爭對手，挑戰現有晶片市場格局。
2026/06/05 00:30,當下,"PSCT: 8
SPY: 2",PSCT小型科技股ETF一年翻倍 大幅跑贏標普500的28.7%,Invesco標普小型股科技ETF(PSCT)自2025年底至2026年6月1日累計報酬約51%，遠超同期SPY的11%。小型科技股表現亮眼，反映市場資金轉向中小型科技題材，受惠於AI擴散至中小企業、利率環境改善及估值補漲行情。投資人對小型科技股的風險偏好顯著提升。
2026/06/05 00:25,展望,"輝達(NVDA): 7
戴爾(DELL): -2
超微電腦(SMCI): -2",輝達主宰AI生態系，為何市場估值卻只給戴爾等級？,輝達擁有史上最強的科技護城河之一，在AI生態系中佔據主導地位，但市場給予的估值倍數卻與僅將其晶片整合進伺服器的硬體商（如戴爾）相當。文章質疑這種估值落差不合理，暗示輝達股價遭到低估，相對於其技術壁壘與生態系優勢，仍具上行空間。
2026/06/05 00:24,展望,"高通(QCOM): -4
輝達(NVDA): 7",高通估值檢視：輝達RTX Spark掀競爭，AI新成長計畫能否撐盤,輝達推出新款RTX Spark超級晶片，加劇Windows PC市場競爭，對高通Snapdragon業務形成壓力。儘管如此，高通正積極擴展資料中心與車用AI布局以尋求新成長動能。受此消息影響，高通股價近期波動劇烈，在獲利了結與AI題材推升間反覆震盪，短線動能仍強勁，且具備穩健的多年期總報酬表現。
2026/06/05 00:22,當下,"Salesforce(CRM): -4
Anthropic相關-微軟(MSFT): 1",Salesforce在AI Agentforce動能與Anthropic投資後的估值評估,Salesforce(CRM)受惠於AI驅動的Agentforce平台帶動強勁季度表現，加上對Anthropic的數十億美元投資，以及在法國的新AI承諾，重新吸引市場關注。然而在AI利多與Q1財報優於預期的急漲後，股價已回落，單日下跌5.09%，年初至今跌幅達24.84%，1年股東總報酬表現疲弱，反映市場對其估值與AI轉型成效仍存疑慮。
2026/06/05 00:22,當下,Palantir(PLTR): 7,Palantir AIPCon 10展示AI跨產業擴張：保險、法律到建築,Palantir在AIPCon 10大會公布多項新合作與AI部署成果。公司宣布墨西哥首個公開商業客戶——保險商GNP，正式打入拉美市場。同時與頂級律所Kirkland & Ellis合作推出針對私募股權業務的企業級AI方案，並擴大與McCarthy Building Companies的合作，將AIP平台應用於大型建築專案。Palantir持續聚焦數據整合與AI落地，顯示其商業客戶版圖正快速跨產業延伸。
2026/06/05 00:22,展望,"超微(AMD): -2
輝達(NVDA): -3",美國出口管制收緊與CPU市場展望擴大重塑AMD的AI故事,"美國監管機構封堵了一項關鍵出口漏洞，過去AMD與輝達可透過非中國子公司向中國客戶出貨先進AI晶片，新規直接衝擊AMD的國際AI晶片可觸及市場，並帶來供應鏈與合規方面的新挑戰。另一方面，AMD上修長期CPU市場展望，預估2030年總市場機會將超過1,200億美元，主要受惠於代理型AI需求崛起。出口限制為短期利空，但CPU市場擴張與AI長線需求提供結構性支撐。"
